carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,highwaympg,price
convertible,rwd,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,27,13495
convertible,rwd,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,27,16500
hatchback,rwd,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,26,16500
sedan,fwd,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,30,13950
sedan,4wd,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,22,17450
sedan,fwd,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,25,15250
sedan,fwd,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,25,17710
wagon,fwd,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,25,18920
sedan,fwd,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,20,23875
hatchback,4wd,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,22,17859.167
sedan,rwd,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,29,16430
sedan,rwd,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,29,16925
sedan,rwd,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,28,20970
sedan,rwd,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,28,21105
sedan,rwd,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,25,24565
sedan,rwd,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,22,30760
sedan,rwd,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,22,41315
sedan,rwd,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,20,36880
hatchback,fwd,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,53,5151
hatchback,fwd,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,43,6295
sedan,fwd,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,43,6575
hatchback,fwd,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,41,5572
hatchback,fwd,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,38,6377
hatchback,fwd,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,30,7957
hatchback,fwd,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,38,6229
sedan,fwd,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,38,6692
sedan,fwd,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,38,7609
sedan,fwd,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,30,8558
wagon,fwd,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,30,8921
hatchback,fwd,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7,145,24,12964
hatchback,fwd,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,54,6479
hatchback,fwd,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,38,6855
hatchback,fwd,93.7,150,64,52.6,1837,79,2.91,3.07,10.1,60,42,5399
hatchback,fwd,93.7,150,64,52.6,1940,92,2.91,3.41,9.2,76,34,6529
hatchback,fwd,93.7,150,64,52.6,1956,92,2.91,3.41,9.2,76,34,7129
sedan,fwd,96.5,163.4,64,54.5,2010,92,2.91,3.41,9.2,76,34,7295
wagon,fwd,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,34,7295
hatchback,fwd,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9,86,33,7895
hatchback,fwd,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9,86,33,9095
sedan,fwd,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9,86,33,8845
sedan,fwd,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9,86,33,10295
sedan,fwd,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9,101,28,12945
sedan,fwd,96.5,169.1,66,51,2293,110,3.15,3.58,9.1,100,31,10345
sedan,rwd,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,29,6785
sedan,fwd,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,43,8916.5
sedan,fwd,94.5,155.9,63.6,52,1909,90,3.03,3.11,9.6,70,43,8916.5
hatchback,rwd,96,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,29,11048
sedan,rwd,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,19,32250
sedan,rwd,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,19,35550
sedan,rwd,102,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,17,36000
hatchback,fwd,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9,68,31,5195
hatchback,fwd,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9,68,38,6095
hatchback,fwd,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9,68,38,6795
sedan,fwd,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9,68,38,6695
sedan,fwd,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9,68,38,7395
hatchback,rwd,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,23,10945
hatchback,rwd,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,23,11845
hatchback,rwd,95.3,169,65.7,49.6,2385,70,3.33,3.255,9.4,101,23,13645
hatchback,rwd,95.3,169,65.7,49.6,2500,80,3.33,3.255,9.4,135,23,15645
hatchback,fwd,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,32,8845
sedan,fwd,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,32,8495
hatchback,fwd,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,32,10595
sedan,fwd,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,32,10245
sedan,fwd,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,42,10795
hatchback,fwd,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,32,11245
sedan,rwd,104.9,175,66.1,54.4,2670,140,3.76,3.16,8,120,27,18280
sedan,rwd,104.9,175,66.1,54.4,2700,134,3.43,3.64,22,72,39,18344
sedan,rwd,110,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,25,25552
wagon,rwd,110,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,25,28248
hardtop,rwd,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,25,28176
sedan,rwd,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,25,31600
sedan,rwd,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,18,34184
convertible,rwd,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,18,35056
sedan,rwd,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8,184,16,40960
hardtop,rwd,112,199.2,72,55.4,3715,304,3.8,3.35,8,184,16,45400
hatchback,rwd,102.7,178.4,68,54.8,2910,140,3.78,3.12,8,175,24,16503
hatchback,fwd,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,41,5389
hatchback,fwd,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,38,6189
hatchback,fwd,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,38,6669
hatchback,fwd,93,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,30,7689
hatchback,fwd,96.3,173,65.4,49.4,2370,110,3.17,3.46,7.5,116,30,9959
hatchback,fwd,96.3,173,65.4,49.4,2328,122,3.35,3.46,8.5,88,32,8499
hatchback,fwd,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7,145,24,12629
hatchback,fwd,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7,145,24,14869
hatchback,fwd,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7,145,24,14489
sedan,fwd,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,32,6989
sedan,fwd,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,32,8189
sedan,fwd,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,30,9279
sedan,fwd,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,30,9279
sedan,fwd,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,37,5499
sedan,fwd,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,50,7099
sedan,fwd,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,37,6649
sedan,fwd,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,37,6849
wagon,fwd,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,37,7349
sedan,fwd,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,37,7299
hatchback,fwd,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,37,7799
sedan,fwd,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,37,7499
wagon,fwd,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,37,7999
hardtop,fwd,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,37,8249
hatchback,fwd,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,34,8949
sedan,fwd,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,34,9549
sedan,fwd,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9,152,22,13499
wagon,fwd,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9,152,22,14399
sedan,fwd,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9,152,25,13499
hatchback,rwd,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9,160,25,17199
hatchback,rwd,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,23,19699
hatchback,rwd,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9,160,25,18399
sedan,rwd,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,24,11900
sedan,rwd,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21,95,33,13200
wagon,rwd,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,24,12440
wagon,rwd,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21,95,25,13860
sedan,rwd,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,24,15580
sedan,rwd,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,33,16900
wagon,rwd,114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,24,16695
wagon,rwd,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21,95,25,17075
sedan,rwd,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,24,16630
sedan,rwd,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,33,17950
sedan,rwd,108,186.7,68.3,56,3130,134,3.61,3.21,7,142,24,18150
hatchback,fwd,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,41,5572
hatchback,fwd,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,30,7957
hatchback,fwd,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,38,6229
sedan,fwd,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,38,6692
sedan,fwd,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,38,7609
wagon,fwd,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,30,8921
hatchback,rwd,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7,145,24,12764
hatchback,rwd,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,27,22018
hardtop,rwd,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,25,32528
hardtop,rwd,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,25,34028
convertible,rwd,89.5,168.9,65,51.6,2800,194,3.74,2.9,9.5,207,25,37028
hatchback,rwd,98.4,175.7,72.3,50.5,3366,203,3.94,3.11,10,288,28,31400.5
wagon,fwd,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,31,9295
hatchback,fwd,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,31,9895
hatchback,fwd,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,28,11850
sedan,fwd,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,28,12170
hatchback,fwd,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,28,15040
sedan,fwd,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,28,15510
hatchback,fwd,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9,160,26,18150
sedan,fwd,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9,160,26,18620
hatchback,fwd,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9,69,36,5118
hatchback,fwd,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,31,7053
hatchback,4wd,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,31,7603
sedan,fwd,97.2,172,65.4,52.5,2145,108,3.62,2.64,9.5,82,37,7126
sedan,fwd,97.2,172,65.4,52.5,2190,108,3.62,2.64,9.5,82,33,7775
sedan,fwd,97.2,172,65.4,52.5,2340,108,3.62,2.64,9,94,32,9960
sedan,4wd,97,172,65.4,54.3,2385,108,3.62,2.64,9,82,25,9233
sedan,4wd,97,172,65.4,54.3,2510,108,3.62,2.64,7.7,111,29,11259
wagon,fwd,97,173.5,65.4,53,2290,108,3.62,2.64,9,82,32,7463
wagon,fwd,97,173.5,65.4,53,2455,108,3.62,2.64,9,94,31,10198
wagon,4wd,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9,82,29,8013
wagon,4wd,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,23,11694
hatchback,fwd,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9,62,39,5348
hatchback,fwd,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9,62,38,6338
hatchback,fwd,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9,62,38,6488
wagon,fwd,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9,62,37,6918
wagon,4wd,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9,62,32,7898
wagon,4wd,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9,62,32,8778
sedan,fwd,95.7,166.3,64.4,53,2081,98,3.19,3.03,9,70,37,6938
hatchback,fwd,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9,70,37,7198
sedan,fwd,95.7,166.3,64.4,53,2275,110,3.27,3.35,22.5,56,36,7898
hatchback,fwd,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,47,7788
sedan,fwd,95.7,166.3,64.4,53,2094,98,3.19,3.03,9,70,47,7738
hatchback,fwd,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9,70,34,8358
sedan,fwd,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9,70,34,9258
sedan,rwd,94.5,168.7,64,52.6,2169,98,3.19,3.03,9,70,34,8058
hatchback,rwd,94.5,168.7,64,52.6,2204,98,3.19,3.03,9,70,34,8238
sedan,rwd,94.5,168.7,64,52.6,2265,98,3.24,3.08,9.4,112,29,9298
hatchback,rwd,94.5,168.7,64,52.6,2300,98,3.24,3.08,9.4,112,29,9538
hardtop,rwd,98.4,176.2,65.6,52,2540,146,3.62,3.5,9.3,116,30,8449
hardtop,rwd,98.4,176.2,65.6,52,2536,146,3.62,3.5,9.3,116,30,9639
hatchback,rwd,98.4,176.2,65.6,52,2551,146,3.62,3.5,9.3,116,30,9989
hardtop,rwd,98.4,176.2,65.6,52,2679,146,3.62,3.5,9.3,116,30,11199
hatchback,rwd,98.4,176.2,65.6,52,2714,146,3.62,3.5,9.3,116,30,11549
convertible,rwd,98.4,176.2,65.6,53,2975,146,3.62,3.5,9.3,116,30,17669
sedan,fwd,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,34,8948
sedan,fwd,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,33,10698
hatchback,fwd,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,32,9988
sedan,fwd,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92,32,10898
hatchback,fwd,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,32,11248
hatchback,rwd,102.9,183.5,67.7,52,2976,171,3.27,3.35,9.3,161,24,16558
hatchback,rwd,102.9,183.5,67.7,52,3016,171,3.27,3.35,9.3,161,24,15998
sedan,rwd,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,24,15690
wagon,rwd,104.5,187.8,66.5,54.1,3151,161,3.27,3.35,9.2,156,24,15750
sedan,fwd,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23,52,46,7775
sedan,fwd,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9,85,34,7975
sedan,fwd,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23,52,46,7995
sedan,fwd,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9,85,34,8195
sedan,fwd,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9,85,34,8495
sedan,fwd,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23,68,42,9495
sedan,fwd,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10,100,32,9995
convertible,fwd,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,29,11595
hatchback,fwd,94.5,165.7,64,51.4,2221,109,3.19,3.4,8.5,90,29,9980
sedan,fwd,100.4,180.2,66.9,55.1,2661,136,3.19,3.4,8.5,110,24,13295
sedan,fwd,100.4,180.2,66.9,55.1,2579,97,3.01,3.4,23,68,38,13845
wagon,fwd,100.4,183.1,66.9,55.1,2563,109,3.19,3.4,9,88,31,12290
sedan,rwd,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,28,12940
wagon,rwd,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,28,13415
sedan,rwd,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,28,15985
wagon,rwd,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,9.5,114,28,16515
sedan,rwd,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162,22,18420
wagon,rwd,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,22,18950
sedan,rwd,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114,28,16845
sedan,rwd,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,25,19045
sedan,rwd,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,23,21485
sedan,rwd,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23,106,27,22470
sedan,rwd,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,25,22625
